Geometry,stop_id,stop_code,stop_station,stop_desc,stop_lat,stop_lon,trip_heads,agency_id,Geopoint
"{u'type': u'Point', u'coordinates': [-99.12136674, 19.40397512]}",14064,,Santa Anita,Metro Linea 8 correspondencia con linea 4.,19.40397512,-99.12136674,Garibaldi - Constitucion de 1917,METRO,"19.40397512, -99.12136674"
"{u'type': u'Point', u'coordinates': [-99.188501, 19.458383]}",14108,,Tacuba,Metro Linea 7 correspondencia con linea 2.,19.458383,-99.188501,Barranca del Muerto - El Rosario,METRO,"19.458383, -99.188501"
"{u'type': u'Point', u'coordinates': [-99.04635072, 19.49024062]}",14222,,Rio de los Remedios,Metro B,19.49024062,-99.04635072,Buenavista - Ciudad Azteca,METRO,"19.49024062, -99.04635072"
"{u'type': u'Point', u'coordinates': [-99.11815882, 19.4814715]}",14191,,La Villa-Basilica,Metro 6,19.4814715,-99.11815882,Martin Carrera - El Rosario,METRO,"19.4814715, -99.11815882"
"{u'type': u'Point', u'coordinates': [-99.18207049, 19.41290022]}",14120,,Juanacatlan,Metro 1,19.41290022,-99.18207049,Observatorio - Pantitlan,METRO,"19.41290022, -99.18207049"
"{u'type': u'Point', u'coordinates': [-99.065867, 19.306124]}",14232,,Tezonco,Metro 12,19.306124,-99.065867,Tlahuac - Mixcoac,METRO,"19.306124, -99.065867"
"{u'type': u'Point', u'coordinates': [-99.03298259, 19.52084286]}",14224,,Olimpica,Metro B,19.52084286,-99.03298259,Buenavista - Ciudad Azteca,METRO,"19.52084286, -99.03298259"
"{u'type': u'Point', u'coordinates': [-99.18661952, 19.38481791]}",14084,,San Antonio,Metro 7,19.38481791,-99.18661952,Barranca del Muerto - El Rosario,METRO,"19.38481791, -99.18661952"
"{u'type': u'Point', u'coordinates': [-99.17407751, 19.32433595]}",14076,,Universidad,Metro 3,19.32433595,-99.17407751,Indios Verdes - Universidad,METRO,"19.32433595, -99.17407751"
"{u'type': u'Point', u'coordinates': [-99.15617108, 19.39604129]}",14059,,Etiopia / Plaza de la Transpatencia,Metro 3,19.39604129,-99.15617108,Indios Verdes - Universidad,METRO,"19.39604129, -99.15617108"
"{u'type': u'Point', u'coordinates': [-99.10931826, 19.36449442]}",14088,,Escuadron 201,Metro 8,19.36449442,-99.10931826,Garibaldi - Constitucion de 1917,METRO,"19.36449442, -99.10931826"
"{u'type': u'Point', u'coordinates': [-99.07917023, 19.45077077]}",14220,,Deportivo Oceania,Metro B,19.45077077,-99.07917023,Buenavista - Ciudad Azteca,METRO,"19.45077077, -99.07917023"
"{u'type': u'Point', u'coordinates': [-99.09070373, 19.41608763]}",14052,,Gomez Farias,Metro 1,19.41608763,-99.09070373,Observatorio - Pantitlan,METRO,"19.41608763, -99.09070373"
"{u'type': u'Point', u'coordinates': [-99.14771676, 19.43336942]}",14138,,Juarez,Metro 3,19.43336942,-99.14771676,Indios Verdes - Universidad,METRO,"19.43336942, -99.14771676"
"{u'type': u'Point', u'coordinates': [-99.13574338, 19.40853892]}",14155,,Chabacano,Metro Linea 8 correspondencia con linea 2 y linea 9.,19.40853892,-99.13574338,Garibaldi - Constitucion de 1917,METRO,"19.40853892, -99.13574338"
"{u'type': u'Point', u'coordinates': [-99.09606814, 19.41958866]}",14053,,Blvd. Puerto Aereo,Metro 1,19.41958866,-99.09606814,Observatorio - Pantitlan,METRO,"19.41958866, -99.09606814"
"{u'type': u'Point', u'coordinates': [-99.1683054, 19.40575613]}",14110,,Chilpancingo,Metro 9,19.40575613,-99.1683054,Tacubaya - Pantitlan,METRO,"19.40575613, -99.1683054"
"{u'type': u'Point', u'coordinates': [-99.15504456, 19.40636329]}",14109,,Centro Medico,Metro Linea 9 correspondencia con linea 3.,19.40636329,-99.15504456,Tacubaya - Pantitlan,METRO,"19.40636329, -99.15504456"
"{u'type': u'Point', u'coordinates': [-99.11388874, 19.45682033]}",14185,,Consulado,Metro Linea 4 correspondencia con linea 5.,19.45682033,-99.11388874,Martin Carrera - Santa Anita,METRO,"19.45682033, -99.11388874"
"{u'type': u'Point', u'coordinates': [-99.18621182, 19.49067553]}",14129,,Azcapotzalco,Metro 6,19.49067553,-99.18621182,Martin Carrera - El Rosario,METRO,"19.49067553, -99.18621182"
"{u'type': u'Point', u'coordinates': [-99.14116144, 19.43098165]}",14142,,San Juan Letran,Metro 8,19.43098165,-99.14116144,Garibaldi - Constitucion de 1917,METRO,"19.43098165, -99.14116144"
"{u'type': u'Point', u'coordinates': [-99.18985963, 19.46911098]}",14107,,Refineria,Metro 7,19.46911098,-99.18985963,Barranca del Muerto - El Rosario,METRO,"19.46911098, -99.18985963"
"{u'type': u'Point', u'coordinates': [-99.072516, 19.414885]}",14226,,Pantitlan,Metro Linea 9 correspondencia con lineas 1 5 y A.,19.414885,-99.072516,Tacubaya - Pantitlan,METRO,"19.414885, -99.072516"
"{u'type': u'Point', u'coordinates': [-99.17542934, 19.35376487]}",14081,,Viveros,Metro 3,19.35376487,-99.17542934,Indios Verdes - Universidad,METRO,"19.35376487, -99.17542934"
"{u'type': u'Point', u'coordinates': [-99.14912224, 19.42729875]}",14157,,Balderas,Metro Linea 1 correspondencia con linea 3.,19.42729875,-99.14912224,Observatorio - Pantitlan,METRO,"19.42729875, -99.14912224"
"{u'type': u'Point', u'coordinates': [-99.1488111, 19.42692438]}",14139,,Balderas,Metro Linea 3 correspondencia con linea 1.,19.42692438,-99.1488111,Indios Verdes - Universidad,METRO,"19.42692438, -99.1488111"
"{u'type': u'Point', u'coordinates': [-99.140471, 19.478595]}",14193,,Autobuses del Norte,Metro 5,19.478595,-99.140471,Pantitlan - Politecnico,METRO,"19.478595, -99.140471"
"{u'type': u'Point', u'coordinates': [-99.00597811, 19.3642515]}",14204,,Acatitla,Metro A,19.3642515,-99.00597811,La Paz - Pantitlan,METRO,"19.3642515, -99.00597811"
"{u'type': u'Point', u'coordinates': [-99.14207339, 19.42720768]}",14158,,Salto del Agua,Metro Linea 8 correspondencia con linea 1.,19.42720768,-99.14207339,Garibaldi - Constitucion de 1917,METRO,"19.42720768, -99.14207339"
"{u'type': u'Point', u'coordinates': [-99.19079304, 19.43337954]}",14114,,Polanco,Metro 7,19.43337954,-99.19079304,Barranca del Muerto - El Rosario,METRO,"19.43337954, -99.19079304"
"{u'type': u'Point', u'coordinates': [-99.16249037, 19.48823803]}",14105,,Norte 45,Metro 6,19.48823803,-99.16249037,Martin Carrera - El Rosario,METRO,"19.48823803, -99.16249037"
"{u'type': u'Point', u'coordinates': [-99.20294, 19.458219]}",14111,,Panteones,Metro 2,19.458219,-99.20294,Cuatro Caminos - Tasquena,METRO,"19.458219, -99.20294"
"{u'type': u'Point', u'coordinates': [-99.181555, 19.45668]}",14125,,Cuitlahuac,Metro 2,19.45668,-99.181555,Cuatro Caminos - Tasquena,METRO,"19.45668, -99.181555"
"{u'type': u'Point', u'coordinates': [-99.113413, 19.39769]}",14065,,Coyuya,Metro 8,19.39769,-99.113413,Garibaldi - Constitucion de 1917,METRO,"19.39769, -99.113413"
"{u'type': u'Point', u'coordinates': [-99.17056918, 19.36142746]}",14078,,Coyoacan,Metro 3,19.36142746,-99.17056918,Indios Verdes - Universidad,METRO,"19.36142746, -99.17056918"
"{u'type': u'Point', u'coordinates': [-99.13904786, 19.46907052]}",14099,,La Raza,Metro Linea 3 correspondencia con linea 5.,19.46907052,-99.13904786,Indios Verdes - Universidad,METRO,"19.46907052, -99.13904786"
"{u'type': u'Point', u'coordinates': [-99.13429499, 19.4159055]}",14160,,San Antonio Abad,Metro 2,19.4159055,-99.13429499,Cuatro Caminos - Tasquena,METRO,"19.4159055, -99.13429499"
"{u'type': u'Point', u'coordinates': [-99.08322573, 19.41179726]}",14217,,Zaragoza,Metro 1,19.41179726,-99.08322573,Observatorio - Pantitlan,METRO,"19.41179726, -99.08322573"
"{u'type': u'Point', u'coordinates': [-99.10281658, 19.42288725]}",14172,,Balbuena,Metro 1,19.42288725,-99.10281658,Observatorio - Pantitlan,METRO,"19.42288725, -99.10281658"
